,caseNumber,gender,age,activity
0,2018.06.25,F,57,Paddling
1,2018.06.18,F,11,Standing
2,2018.06.09,M,48,Surfing
3,2018.06.08,M,,Surfing
4,2018.06.04,M,,Free diving
5,2018.06.03.b,M,,Kite surfing
6,2018.06.03.a,M,18,Swimming
7,2018.05.27,M,52,Fishing
8,2018.05.26.b,M,15,Walking
9,2018.05.26.a,M,12,Standing
10,2018.05.24,M,32,Feeding sharks
11,2018.05.21,M,10,Boogie boarding
12,2018.05.13.b,M,10,Swimming
13,2018.05.13.a,M,21,Fishing
14,2018.05.00,F,34,Feeding sharks
15,2018.05.12,M,,Surfing
16,2018.05.09,M,,Surfing
17,2018.04.30.R,M,,Swimming
18,2018.04.28.b,M,30,Scuba diving
19,2018.04.28.a,M,,Surfing
20,2018.04.25.b,M,,Surfing
21,2018.04.25.a,M,60,Surfing
22,2018.04.24,M,,Surfing
23,2018.04.23,M,32,Fishing
24,2018.04.22,M,33,Paddle-skiing
25,2018.04.19,M,29,Body boarding
26,2018.04.15.d,M,54,Swimming
27,2018.04.15.c,M,34,Swimming
28,2018.04.15.b,M,41,Surfing
29,2018.04.15.a,M,37,Surfing
30,2018.04.14,M,,Surfing
31,2018.04.10.R,M,56,Fishing
32,2018.04.09,,,Windsurfing
33,2018.04.05,M,12,Swimming
34,2018.04.03,M,19,Surfing
35,2018.03.31,M,25,Stand-Up Paddleboarding
36,2018.03.14,M,10,Wading
37,2018.03.09.b,M,69,Swimming
38,2018.03.09.a,M,18,Surfing
39,2018.02.24,M,38,Scuba Diving
40,2018.02.23,F,55,Swimming
41,2018.02.17,M,34,Kayak fishing for sharks
42,2018.02.15,M,35,Walking
43,2018.02.14,F,,Swimming
44,2018.02.11,F,46,Cleaning fish
45,2018.02.03,M,45,Snorkeling
46,2018.02.01,M,14,Spearfishing
47,2018.01.28,M,18,
48,2018.01.21,M,40s,Spearfishing
49,2018.01.14,M,,Diving
50,2018.01.13,M,28,Free diving
51,2018.01.12,M,20,Surfing
52,2018.01.05,M,,Surfing
53,2017.12.31,F,54,Surfing
54,2017.12.30,F,35,Surfing
55,2017.12.21,M,24,Fishing / Wading
56,2017.12.09,F,25,Snorkeling
57,2017.11.30.b,M,26,Scuba Diving
58,2017.11.30.a,F,49,Scuba diving
59,2017.11.25.R,,,2 boats capsized
60,2017.11.24,M,25,Spearfishing
61,2017.11.18,F,14,Surfing
62,2017.11.13.R,M,24,Surfing
63,2017.11.13,M,25,Surfing
64,2017.11.04,M,22,Night bathing
65,2017.10.31.R,M,7,Snorkeling
66,2017.10.28,M,31,Surfing
67,2017.10.26,M,,Stand-Up Paddleboarding
68,2017.10.23.c,M,,Swimming
69,2017.10.23.b,M,17,Surfing 
70,2017.10.23.a,F,60,Swimming
71,2017.10.22,F,15,Kayaking / Fishing
72,2017.10.21,M,,Kayaking
73,2017.10.18,M,,Swimming
74,2017.10.09,M,54,Surfing
75,2017.10.05,F,40,Snorkeling
76,2017.10.01,M,31,Scuba Diving
77,2017.09.25.b,M,,Surfing
78,2017.09.25.a,M,,Surfing
79,2017.09.24.b,M,33,Surfing
80,2017.09.24.a,M,,Surfing
81,2017.09.20,M,,Surfing
82,2017.09.16.b,M,13,Body surfing
83,2017.09.16.a,M,28,Surfing
84,2017.09.15.b,M,25,Scuba Diving
85,2017.09.15.a,M,,Fishing
86,2017.09.14,,,Fishing
87,2017.09.13,M,18,Surfing
88,2017.09.10.b,M,,Swimming
89,2017.09.10.a,M,35,Surfing
90,2017.09.06.R,M,,Spearfishing
91,2017.09.03.b,M,,"Swimming, poaching abalone"
92,2017.09.03.a,M,42,Surfing
93,2017.09.02.c,M,,Swimming
94,2017.09.02.b,F,,Swimming
95,2017.09.02.a,M,17,Surfing
96,2017.08.29,M,37,Surfing
97,2017.08.27,F,3,Wading
98,2017.08.26.b,F,11,Swimming
99,2017.08.26.a,M,,Canoeing
100,2017.08.23,M,69,SUP
101,2017.08.18,M,,Spearfishing
102,2017.08.10,M,13,Swimming
103,2017.08.05,F,20,Snorkeling
104,2017.08.03,M,34,Fishing
105,2017.08.01,M,,Kayaking / Fishing
106,2017.07.31,M,15,Skimboarding
107,2017.07.29.c,M,10,Swimming
108,2017.07.29.a,F,12,
109,2017.07.27,F,,Snorkeling
110,2017.07.26.R,M,,Spearfishing
111,2017.07.24,M,37,Surfing
112,2017.07.23.b,F,,
113,2017.07.23.a,F,,Swimming
114,2017.07.22,F,40,
115,2017.07.20.c,F,8,Swimming
116,2017.07.20.b,M,40,Kayaking
117,2017.07.20.a,M,50,SUP
118,2017.07.14.b,M,,Surfing
119,2017.07.14.a,M,,Surfing
120,2017.07.11,M,,Kayaking
121,2017.07.09,M,46,Swimming
122,2017.07.07.R,M,32,Fishing
123,2017.07.07,F,13,Surfing
124,2017.07.02,,,Fishing
125,2017.06.29,M,,Fishing
126,2017.06.21,F,16,Swimming
127,2017.06.19,M,,Surfing
128,2017.06.18.b,F,14,Swimming
129,2017.06.18.a,M,34,Body boarding
130,2017.06.17,M,82,Swimming
131,2017.06.05,M,,Surfing
132,2017.06.14.R,F,,Feeding sharks
133,2017.06.11,M,48,Body boarding
134,2017.06.10.b,F,,Surfing
135,2017.06.10.a,M,19,Surfing
136,2017.06.07.R,M,30,Surfing 
137,2017.06.04,M,,Spearfishing
138,2017.06.02,F,32,Snorkeling
139,2017.05.30,F,20,Touching a shark
140,2017.05.28,M,,Feeding sharks
141,2017.05.27,M,73,Fishing 
142,2017.05.12,M,41,Spearfishing
143,2017.05.06.R,M,29,Attempting to lasso a shark
144,2017.05.06,M,33,Snorkeling
145,2017.05.03,F,18,Surfing
146,2017.04.29.d,F,,Swimming
147,2017.04.29.c,M,14,Surfing
148,2017.04.29.b,F,33,Surfing
149,2017.04.29.a,M,28,Body boarding
150,2017.04.27,F,20s,Body boarding
151,2017.04.26,F,,Photo shoot
152,2017.04.22,F,40,Snorkeling
153,2017.04.20,M,,Swimming
154,2017.04.17.b,,,
155,2017.04.17.a,F,17,Surfing
156,2017.04.14,M,28,Surfing
157,2017.04.13,M,17,Surfing
158,2017.04.12.b,F,,Surfing
159,2017.04.12.a,M,68,Scuba Diving
160,2017.04.11,F,35,Surfing
161,2017.04.10.b,F,10,Paddle boarding
162,2017.04.10.a,F,21,Swimming
163,2017.04.06,M,16,Swimming
164,2017.04.05,F,51,Swimming
165,2017.04.02.b,M,39,Kakaying
166,2017.04.02.a,F,17,Swimming
167,2017.03.27,M,58,Surfing
168,2017.03.19,M,30,Body boarding
169,2017.03.18,M,,Kayaking
170,2017.03.11,M,25,Spearfishing
171,2017.03.09,M,58,Washing hands
172,2017.02.25,F,,Snorkeling
173,2017.02.24,M,,Surfing
174,2017.02.21,M,26,Body boarding
175,2017.02.17,M,26,Spearfishing
176,2017.02.11,M,22,Swimming
177,2017.02.06.b,F,,Grabbing shark for a selfie
178,2017.02.06.a,M,,Kayak fishing
179,2017.02.01.b,,,Tagging sharks
180,2017.02.01.a,M,37,Scuba Diving
181,2017.01.24,M,21,Swimming
182,2017.01.22,M,Teen,
183,2017.01.21,M,55,Scuba Diving
184,2017.01.13.b,M,57,Swimming
185,2017.01.13.a,M,,
186,2017.01.09,M,48,Surfing
187,2017.01.08.R,M,35,Spearfishing
188,2017.01.05,M,47,Wading
189,2017.01.03,M,20,Wading
190,2016.12.27,M,16,Surfing
191,2016.12.24,F,,Snorkeling
192,2016.12.19,M,55,Surf skiing 
193,2016.12.14,M,61,Free diving
194,2016.12.11.b,M,40s,Fishing
195,2016.12.11.a,M,19,Surfing
196,2016.12.06,M,20,Surf fishing
197,2016.12.01,M,65,Surfing
198,2016.11.28,M,73,Fishing
199,2016.11.14,F,58,Floating
200,2016.10.30,M,41,Surfing
201,2016.10.29,M,42,Surfing
202,2016.10.24,M,36,Surfing
203,2016.10.21,M,36,Surfing
204,2016.10.15,M,,Surfing
205,2016.10.14,F,66,Snorkeling
206,2016.10.13.R,M,,Cage Diving
207,2016.10.12,M,25,Surfing
208,2016.10.10,M,29,Surfing
209,2016.10.02,M,21,Surfing
210,2016.10.01,M,32,Surfng
211,2016.09.26,M,17,Surfing
212,2016.09.18.c,M,16,Surfing
213,2016.09.18.b,M,36,Surfing
214,2016.09.18.a,M,43,Surfing
215,2016.09.17.b,M,43,Surfing
216,2016.09.17.a,M,,Surfing
217,2016.09.15,M,,Surfing
218,2016.09.15.R,,,Fishing
219,2016.09.11,M,60s,Wading
220,2016.09.07,F,51,Swimming
221,2016.09.06,M,50,Kite surfing
222,2016.09.05.b,F,12,Boogie boarding
223,2016.09.05.a,M,,Surfing
224,2016.09.04,M,9,Body boarding
225,2016.09.01,M,22,Spearfishing
226,2016.09.00,,,Cage Diving
227,2016.08.29.b,M,25,Surfing
228,2016.08.29.a,M,37,Surfing
229,2016.08.27,M,20,Surfing
230,2016.08.25,M,49,Wading
231,2016.08.07,M,15,Snorkeling
232,2016.08.06,M,21,SUP Foil boarding
233,2016.08.04,M,22,Surfing
234,2016.07.29,M,40,Swimming
235,2016.07.28.R,M,72,Swimming
236,2016.07.28,M,,Kayaking
237,2016.07.27,M,43,Lobstering
238,2016.07.26,M,18,Surfing
239,2016.07.24,M,29,Surfing
240,2016.07.23.b,M,36,Surfing
241,2016.07.23.a,M,,Spearfishing
242,2016.07.20,M,31,Fishing
243,2016.07.17,,,Fishing in Alabama Deep Fishing Rodeo
244,2016.07.16.b,F,9,Surfing
245,2016.07.16.a,F,11,
246,2016.07.15.b,M,61,Kite surfing
247,2016.07.15.a,M,,Swimming
248,2016.07.14.R,M,,Scuba Diving
249,2016.07.08.R,F,10,Wading
250,2016.07.08,M,,Fishing for squid
251,2016.07.07.b,M,59,Fishing
252,2016.07.07.a,M,,Fishing for sharks
253,2016.07.06,F,42,Swimming
254,2016.07.04,M,34,Fishing
255,2016.06.27,M,35,
256,2016.06.25,M,11,Surfing
257,2016.06.24,M,59,Scuba Diving
258,2016.06.23,M,43,Spearfishing
259,2016.06.21.b,M,42,Floating
260,2016.06.21.a,M,,Wading
261,2016.06.15.b,M,,Surfing
262,2016.06.15.a,M,19,Spearfishing
263,2016.06.14,F,6,Floating in tube
264,2016.06.11,M,19,Standing
265,2016.06.07,M,27,Surfing
266,2016.06.05.b,M,64,Swimming
267,2016.06.05.a,F,60,Diving
268,2016.06.04,M,23,Swimming
269,2016.06.02.b,M,,Spearfishing
270,2016.06.02.a,M,,Kite surfing
271,2016.05.31,M,29,Surfing
272,2016.05.29.b,F,52,Swimming
273,2016.05.29.a,M,13,Swimming
274,2016.05.22,F,57,Swimming
275,2016.05.21.b,F,22,Swimming
276,2016.05.21.a,F,11,Swimming
277,2016.05.18,M,48,Swimming
278,2016.05.15,F,23,Teasing a shark
279,2016.05.03,M,59,Floating
280,2016.05.02,M,39,Fishing
281,2016.04.25,M,24,Surfing
282,2016.04.23,M,15,Surfing
283,2016.04.22,M,,Surf-skiing
284,2016.04.19,M,12,Swimming
285,2016.04.18.b,M,22,Spearfishing
286,2016.04.18.a,M,26,Spearfishing
287,2016.04.13,M,26,Spearfishing
288,2016.04.09,F,69,Walking
289,2016.04.08,M,60,
290,2016.04.07.b,M,34,Fishing
291,2016.04.07.a,M,,SUP
292,2016.03.31,F,46,Snorkeling
293,2016.03.30,M,22,Surfing
294,2016.03.28.b,M,Teen,
295,2016.03.28.a,M,41,Surfing
296,2016.03.26,M,9,
297,2016.03.13,,,Surfing
298,2016.03.11,M,19,Body surfing
299,2016.03.10,M,45,Diving for beche-de-mer
300,2016.03.04,M,12,
301,2016.03.03.R,M,,Fishing
302,2016.03.02,M,41,Swimming
303,2016.02.22,M,21,Kite surfing
304,2016.02.19,M,31,Spearfishing
305,2016.02.12,F,,Wading
306,2016.02.10.R,M,65,Feeding stingrays?
307,2016.02.10,M,,Surfing
308,2016.02.05,F,45,Walking
309,2016.02.04,M,40,Windsurfing
310,2016.02.02,M,41,Swimming
311,2016.01.29,M,,Kayak fishing
312,2016.01.28,M,,Surfing
313,2016.01.25,F,15,Surfing
314,2016.01.24.b,M,,Spearfishing
315,2016.01.24.a,M,,Fishing
316,2016.01.23,M,48,Paddle boarding
317,2016.01.11.R,M,,Surfing
318,2016.01.05,M,11,Wading
319,2016.01.02,M,31,Spearfishing
320,2015.12.26,M,,Kayak Fishing
321,2015.12.25,F,38,Swimming
322,2015.12.22,M,71,Paddle boarding
323,2015.12.21.b,M,43,Surfing
324,2015.12.21.a,M,32,Scuba diving
325,2015.12.19,M,58,Sea disaster
326,2015.12.13,,,Fishing
327,2015.12.11,M,26,Lobster fishing
328,2015.12.08,F,22,Swimming / Wading
329,2015.11.20,M,55,Snorkeling
330,2015.11.16,M,,Surfing
331,2015.11.15.b,F,,Swimming
332,2015.11.15.a,M,28,Surfing
333,2015.11.10,M,20,Surfing
334,2015.12.23,F,9,Surfing
335,2015.11.03,M,54,Swimming
336,2015.11.01.b,F,28,Wading
337,2015.11.01.a,M,19,Fishing
338,2015.10.30,M,50,Spearfishing
339,2015.10.28.a,M,10,Body boarding
340,2015.10.25,M,42,Surfing
341,2015.10.21,M,21,Surfing
342,2015.10.19,M,21,Surfing
343,2015.10.17.c,F,35,Fishing for shrimp
344,2015.10.17.b,M,32,Surfing
345,2015.10.17.a,M,44,Swimming
346,2015.10.13,M,,Kayak Fishing
347,2015.10.09.b,F,9,Boogie boarding
348,2015.10.09.a,M,25,Surfing
349,2015.10.08,M,,Fishing
350,2015.10.07,M,18,Surfing
351,2015.10.05.b,M,22,Body boarding
352,2015.10.05.a,M,13,Wading
353,2015.10.04,M,14,Surfing
354,2015.09.29,M,22,Surfing
355,2015.09.26,F,7,Snorkeling
356,2015.09.24,M,,Kayak fishing
357,2015.09.20.d,M,14,Surfing
358,2015.09.20.c,M,27,Spearfishing
359,2015.09.20.b,M,12,Wading
360,2015.09.20.a,M,16,Photographing fish
361,2015.09.19,M,,Kayak Fishing
362,2015.09.18,M,,Swimming
363,2015.09.17,M,20,Surfing
364,2015.09.08,M,42,Surfing
365,2015.09.06,F,50,Stand-Up Paddleboarding
366,2015.09.05,M,29,Kayak Fishing
367,2015.09.04,M,62,Surf-skiing
368,2015.09.03,M,,
369,2015.09.01,F,37,Wading
370,2015.09.00,M,,Spearfishing
371,2015.08.29.b,F,54,Surfing
372,2015.08.29.a,M,21,Surfing
373,2015.08.22.b,M,,
374,2015.08.22.a,M,38,Surfing
375,2015.08.20,M,15,Surfing
376,2015.08.19,F,10,Walking
377,2015.08.18.b,M,22,Kayak Fishing
378,2015.08.18.a,M,10,Swimming
379,2015.08.10,M,57,Spearfishing
380,2015.07.31,M,52,Surfing
381,2015.07.28,M,47,Surfing
382,2015.07.27,M,40,Surfing
383,2015.07.26.b,M,25,Surfing
384,2015.07.26.a,F,35,Floating
385,2015.07.25,M,46,Scallop diving on hookah
386,2015.07.23.b,M,31,Kayak Fishing
387,2015.07.23.a,M,40,Surfing
388,2015.07.22,M,45,Surfing
389,2015.07.19,M,34,Surfing
390,2015.07-10,M,38,Surfing
391,2015.07.08,M,39,Treading water
392,2015.07.06,M,,Swimming
393,2015.07.04.b,F,23,Spearfishing
394,2015.07.04.a,M,32,
395,2015.07.03,M,52,Surfing
396,2015.07.02,M,32,Body boarding 
397,2015.07.01,M,68,Swimming
398,2015.06.30.b,M,,Surfing
399,2015.06.30.a,M,12,Playing in the water
400,2015.06.27.b,M,18,Swimming
401,2015.06.27.a,M,19,Body Boarding
402,2015.06.26.c,F,,Swimming
403,2015.06.26.b,M,23,Surfing
404,2015.06.26.a,M,43,Standing
405,2015.06.25.R,M,19,Swimming
406,2015.06.25,M,47,Body surfing?
407,2015.06.24.b,M,6,Swimming
408,2015.06.24.a,F,37,Surfing
409,2015.06.23,M,9,Standing
410,2015.06.19,M,36,Spearfishing
411,2015.06.17,M,10,Swimming
412,2015.06.14.b,M,16,Wading
413,2015.06.14.a,F,12,Wading
414,2015.06.13,F,,
415,2015.06.11,F,13,Boogie boarding
416,2015.06.07,M,11,Playing
417,2015.06.05,F,17,Attempting to rescue a shark
418,2015.06.01,M,47,Surfing
419,2015.05.29.b,F,14,Standing
420,2015.05.29.a,F,19,Wading
421,2015.05.25,M,19,Spearfishing
422,2015.05.24,F,13,Swimming
423,2015.05.20,M,18,Surfing
424,2015.05.15,M,30,
425,2015.05.09,M,50,Snorkeling
426,2015.05.07,M,,Swimming
427,2015.05.03,M,,Surfing
428,2015.05.02,M,29,Diving
429,2015.04.29,F,65,Snorkeling
430,2015.04.26,M,63,Wading
431,2015.04.25,M,26,Surfing
432,2015.04.24.c,M,71,Surf skiing 
433,2015.04.13,M,48,Photographing the shark
434,2015.04.12,M,13,Surfing
435,2015.04.11,M,,Paddle boarding
436,2015.04.03,M,70,Spearfishing
437,2015.03.29,M,43,Diving
438,2015.03.31,M,23,Surfing
439,2015.03.26,M,36,Kayak Fishing
440,2015.03.21,M,52,Swimming
441,2015.03.18,M,58,Standing / Snorkeling
442,2015.03.16,M,9,Hand feeding sharks
443,2015.03.11,M,,Fishing
444,2015.03.10,M,36,Fishing
445,2015.03.07,M,18 months,Sitting in the water
446,2015.02.15,,,Transatlantic Rowing
447,2015.02.14,F,22,Swimming
448,2015.02.09,M,41,Surfing
449,2015.02.08,M,35,Surfing
450,2015.02.05,M,,Bodysurfing
451,2015.01.30,M,57,Rowing
452,2015.01.27,M,20,Shark fishing
453,2015.01.24,M,,Surfing
454,2015.01.23,M,24,Floating
455,2015.01.19.b,M,,Fishing
456,2015.01.19.a,F,,Surfing & filming dolphins
457,2015.01.17,M,,Fishing
458,2015.01.16,M,17,Filming
459,2015.01.08,M,38,Swimming after falling overboard
460,2015.01.06,F,34,Snorkeling
461,2015.01.03,M,15,Surfing
462,2015.01.01,M,12,
463,2014.12.29.b,,,Surfing
464,2014.12.29.a,M,17,Spearfishing
465,2014.12.28.d,,,
466,2014.12.28.c,,,Swimming
467,2014.12.28.b,M,50,Surfing
468,2014.12.28.a,M,40s,Fishing
469,2014.12.23.R,M,,Diving / Filming
470,2014.12.15,M,17,Spearfishing
471,2014.12.03.R,M,,Fishing for blue sharks
472,2014.11.29,M,13,Surfing
473,2014.11.20,M,39,Fishing
474,2014.11.19,M,,Fishing
475,2014.11.17,,,
476,2014.11.16,M,44,Surfing
477,2014.11.13,M,53,Snorkeling
478,2014.11.10,M,,Surfing
479,2014.11.08,M,18,Surfing
480,2014.10.31,F,34,Surfing
481,2014.10.30,M,20,Surfing
482,2014.10.22,F,,Stand-Up Paddleboarding
483,2014.10.20,M,,Stand-Up Paddleboarding
484,2014.10.19,F,,Canoeing
485,2014.10.18,M,,Surfing
486,2014.10.17,F,13,Surfing
487,2014.10.14,F,7,Standing in inner tube
488,2014.10.12,F,,Body surfing or Boogie boarding
489,2014.10.11,M,,Kayaking
490,2014.10.05.b,M,29,Surfing
491,2014.10.07,F,40,Fishing
492,2014.10.05.a,M,15,Surfing
493,2014.10.03.b,M,,Kayaking
494,2014.10.03.a,M,,Kayaking 
495,2014.10.02.b,M,28,Surfing
496,2014.10.02.a,M,23,Surfing
497,2014.09.21,M,,Surfing
498,2014.09.13.R,F,36,Feeding fish
499,2014.09.13,M,,Surfing
500,2014.09.09,M,50,Swimming
501,2014.09.06,M,43,Fishing 
502,2014.09.03,F,20s,Kayaking 
503,2014.09.02,M,52,Fishing
504,2014.09.00,M,16,Playing with an air mattress
505,2014.08.31,F,13,Body surfing
506,2014.08.29.b,M,17,Surfing
507,2014.08.29.a,,,
508,2014.08.28,M,33,Fishing
509,2014.08.27.c,F,30s,Swimming
510,2014.08.27.b,M,29,Surfing
511,2014.08.27.a,F,,Standing
512,2014.08.25,M,,Fishing for sharks
513,2014.08.24,,,Kite boarding
514,2014.08.16,M,31,Spearfishing
515,2014.08.12,M,,Standing
516,2014.08.10,M,26,
517,2014.08.09.R,M,,Spearfishing
518,2014.08.09,F,10,Swimming
519,2014.08.08,M,7,Swimming
520,2014.08.06,M,10,Boogie boarding
521,2014.08.05,F,45,Swimming
522,2014.08.02,M,50s,Surfing
523,2014.08.02,M,8,Boogie boarding
524,2014.08.01,M,20,Surfing
525,2014.08.00,M,,Sea disaster
526,2014.07.27,M,Teen,Swimming
527,2014.07.22,M,51,Surfing
528,2014.07.21,M,8,Standing
529,2014.07.20,,,Wading
530,2014.07.16,M,61,Swimming
531,2014.07.14,M,39,Swimming
532,2014.07.13,M,63,Shark diving
533,2014.07.12,M,,Body surfing
534,2014.07.09,M,14,Surfing
535,2014.07.05.b,M,,Swimming
536,2014.07.05.a,M,,Surfing
537,2014.07.03,M,19,Body surfing
538,2014.06.27.R,M,48,Transatlantic Rowing
539,2014.06.25,M,42,Spearfishing
540,2014.06.18.b,M,,Surfing
541,2014.06.18.a,M,15,Body boarding
542,2014.06.17.R,M,,Petting a shark
543,2014.06.09.c,M,43,Fishing
544,2014.06.09.b,M,16,Standing
545,2014.06.09.a,M,39,Body boarding
546,2014.06.08,M,43,Surfing
547,2014.06.07,F,14,Kneeling in the water
548,2014.06.01.c,F,22,Swimming
549,2014.06.01.b,M,,Surfing
550,2014.06.01.a,F,37,Tagging sharks
551,2014.05.27.R,F,29,Fell into the water
552,2014.05.23,M,,Scuba diving
553,2014.05.22,M,10,Teasing a shark
554,2014.05.15,F,38,Body boarding
555,2014.05.14,M,35,Surfing
556,2014.05.13,F,44,Wading
557,2014.05.11,M,12,Surfing
558,2014.05.10.R,M,,Diving
559,2014.05.06,F,40,Swimming
560,2014.05.04,,,Diving
561,2014.05.01,M,23,Surfing
562,2014.04.24,M,,Spearfishing
563,2014.04.22,M ,42,Swimming
564,2014.04.15,M,25,Wading
565,2014.04.12.R,,,Shark watching
566,2014.04.12,M,,Fishing
567,2014.04.04.b,M,teen,Surfing
568,2014.04.04.a,M,teen,Surfing
569,2014.04.03,F,63,Swimming
570,2014.03.29,M,38,Diving for lobsters
571,2014.03.22.b,M,66,Swimming
572,2014.03.22.a,M,,Kite Surfing
573,2014.03.21,M,9,Surfing
574,2014.03.18.c,M,42,Kite Surfing
575,2014.03.18.b,M,42,Surfing
576,2014.03.18,F,10,
577,2014.03.12,M,,Swimming
578,2014.03.13,M,,Scuba diving / culling lionfish
579,2014.03.02,M,21,Surfing
580,2014.02.20,M,21,Kitesurfing
581,2014.02.17,M,21,Sailing
582,2014.02.08,M,28,Spearfishing / Free diving
583,2014.02.07.b,M,,Fishing
584,2014.02.07,M,28,Surfing
585,2014.01.26,M,,Fishing
586,2014.01.25,M,24,Spearfishing
587,2014.01.04,M,31,Sea disaster
588,2014.00.00.b,M,,Free diving / Photographing pilot whales
589,2014.00.00,,,Filming a documentary
590,2013.12.25,M,37,Snorkeling
591,2013.12.16,M,19,Surfing
592,2013.12.13,M,35,Attempting to remove fishing net from submerged object
593,2013.12.11,M,29,Boogie boarding
594,2013.12.10,M,30,Surfing
595,2013.12.05,M,26,Surfing
596,2013.12.02,M,57,Kayaking / Fishing
597,2013.11.30,M,19,Body boarding
598,2013.11.29,F,58,Snorkeling
599,2013.11.23.a,M,35,Surfing
600,2013.11.22,M,25,Surfing
601,2013.11.12,M,,Surfing
602,2013.11.10,M,77,Shark fishing
603,2013.11.07.b,M,16,Body boarding
604,2013.11.07.a,M,,Surfing
605,2013.10.31,M,46,Kiteboarding
606,2013.10.28,F,60,Snorkeling
607,2013.10.26.b,M,24,Body boarding
608,2013.10.26.a,M,,Diving for crayfish
609,2013.10.24,M,41,Surfing
610,2013.10.23,M,45,Diving 
611,2013.10.20,M,25,Surfing
612,2013.10.19,M,6,Wading
613,2013.10.11,M,74,Swimming / snorkeling
614,2013.10.08,M,55,Diving for Abalone
615,2013.10.05,M,45,Surfing
616,2013.10.05,M,12,Wading
617,2013.09.29.b,M,50,Surfing
618,2013.09.29.a,M,27,Diving
619,2013.09.25,M,7,Standing
620,2013.09.21.b,M,45,Swimming
621,2013.09.21.a,M,,Surfing
622,2013.09.14,M,21,Swimming
623,2013.09.12,F,13,Surfing
624,2013.09.08,F,,
625,2013.09.07.b,M,43,Surfing
626,2013.09.07.a,M,25,Standing
627,2013.09.02,M,17,Swimming
628,2013.09.01.c,M,3,
629,2013.09.01.b,M,,
630,2013.09.01.a,M,9,Casting a net
631,2013.08.31.b,M,,Spearfishing
632,2013.08.31.a,M,,Swimming
633,2013.08.29,F,47,Marathon swimming
634,2013.08.26,M,50,Longline fishing for sharks
635,2013.08.25.b,F,11,Boogie boarding
636,2013.08.25,M,,Wrangling a shark
637,2013.08.18,M,16,Surfing
638,2013.08.17,F,,Surfing
639,2013.08.14,F,20,Snorkeling
640,2013.08.13,F,19,Kiteboarding
641,2013.08.11,M,10,Surfing
642,2013.08.08.R,M,,Attempting to free the shark
643,2013.08.05,M,17,Fishing
644,2013.07.31,F,56,Snorkeling
645,2013.07.30,M,32,Swimming
646,2013.07.29.c,M,40,Spearfishing
647,2013.07.29.b,F,,Wading
648,2013.07.29.a,M,18,Surfing
649,2013.07.28.b,M,64,Cleaning fish
650,2013.07.28.a,M,50,Diving
651,2013.07.22,F,18,Swimming
652,2013.07.19,F,50,Walking in surf
653,2013.07.17.R,M,teen,Swimming 
654,2013.07.15,F,15,Swimming & snorkeling
655,2013.07.14,M,33,Swimming
656,2013.07.11,F,63,Wading
657,2013.07.09,M,48,Swimming
658,2013.07.02,M,29,Body surfing
659,2013.06.30,M,,Fishing
660,2013.06.27,M,20,
661,2013.06.25.c,M,,Kayaking / Fishing
662,2013.06.25.b,M,,Swimming
663,2013.06.25.a,M,14,Swimming
664,2013.06.18,M,28,Swimming
665,2013.06.17,M,15,Swimming
666,2013.06.16,M,,Surfing
667,2013.06.15,F,,Surfing
668,2013.06.14.R,F,10,Boogie Boarding
669,2013.06.06.b,M,58,Fishing for sharks
670,2013.06.06.a,M,,Surfing
671,2013.05.27.b,M,32,Diving
672,2013.05.27.a,M,11,Swimming
673,2013.05.23.b,M,41,
674,2013.05.23.a,M,30,Fishing
675,2013.05.14,M,29,Surfing
676,2013.05.08.b,M,42,Surfing
677,2013.05.08.a,M,36,Body boarding
678,2013.05.04.a,M,16,Surfing
679,2013.04.28,M,,Fishing
680,2013.04.24,F,34,Swimming
681,2013.04.21,M,51,Fishing
682,2013.04.17,M,9,Playing in the surf
683,2013.04.14,M,,Free diving
684,2013.04.13.b,M,21,Surfing
685,2013.04.13.a,M,40,
686,2013.04.10,M,53,Kite boarding
687,2013.04.04,M,50,Swimming
688,2013.04.02.R,M,24,
689,2013.04.02.a,M,58,Surfing
690,2013.03.31,M,47,Surfing
691,2013.03.29,M,34,Free diving
692,2013.03.21.R,F,,Snorkeling
693,2013.03.21,M,50,Fly fishing
694,2013.03.16.b,M,30,Fishing - 'tag & release'
695,2013.03.16.a,M,,Surfing
696,2013.03.12,M,68,Spearfishing
697,2013.03.10.b,M,28,Spearfishing
698,2013.03.10.a,M,28 & 26,Swimming to shore with floatioon devices after boat engine conked out
699,2013.03.03,M,39,Swimming
700,2013.02.27,M,46,Swimming
701,2013.02.21.b,,,Surfing
702,2013.02.21.a,M,,Surfing
703,2013.02.10,M,16,Surfing
704,2013.02.09,M,48,Scuba diving
705,2013.02.01,M,18,
706,2013.01.26,M,,Fishing
707,2013.01.25,M,,Surfing
708,2013.01.21.R,M,62,Dragging stranded shark into deeper water
709,2013.01.16,M,43,Surfing
710,2013.01.13,M,,Spearfishing
711,2013.01.05,M,26,Spearfishing / Free diving
712,2012.12.31,M,,Swimming
713,2012.12.30,M,23,Surfing
714,2012.12.28,M,29,Paddle boarding
715,2012.12.25,M,20,Swimming
716,2012.12.19,M,32,Surfing
717,2012.12.05,M,60,Surfing
718,2012.12.02,M,31,Spearfishing
719,2012.12.00,F,25,Scuba diving
720,2012.11.30,M,61,Snorkeling
721,2012.11.27,M,20,
722,2012.11.22,M,32,Swimming
